Latitude,Longitude,Depth,Magnitude,Root Mean Square,Damage_Potential,Magnitude Type_MB,Magnitude Type_MD,Magnitude Type_MH,Magnitude Type_ML,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWR,Magnitude Type_MWW,Status_Reviewed
31.0395,-113.7773333,6.0,6.35,0.6,5.792857142857143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
33.1798333,-116.103,10.0,6.6,0.33,5.931428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.416,-118.37,8.95,6.6,0.249,5.934428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
34.416,-118.37,6.0,5.8,0.324,5.462857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
34.416,-118.37,6.0,5.8,0.005,5.462857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.25,-114.8,6.0,5.55,3.22,5.312857142857142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
39.4321667,-121.5458333,4.388,5.7,0.07,5.407462857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
41.0351667,-124.9496667,41.78,6.3,0.09,5.660628571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
42.096,19.209,10.0,6.9,1.1,6.111428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
37.1038333,-121.5123333,8.315,5.8,0.06,5.456242857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
32.6673333,-115.3591667,15.0,6.4,0.5,5.797142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
32.9986667,-115.5575,14.19,5.8,0.17,5.439457142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
46.2073333,-122.188,1.51,5.7,0.22,5.415685714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.5903333,-118.831,6.806,6.1,0.15,5.640554285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.6768333,-118.8996667,6.686,6.0,1.35,5.580897142857142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
37.6956667,-118.75,6.0,6.47,0.57,5.864857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
37.5538333,-118.807,11.856,6.1,0.1,5.626125714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
37.6186667,-118.8348333,4.833,5.7,0.04,5.406191428571429,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
37.5206667,-118.8761667,2.063,5.7,0.03,5.414105714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37.6243333,-118.7551667,6.0,6.31,0.79,5.768857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.5033333,-118.8055,13.795,6.2,0.12,5.680585714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
32.1998333,-115.1221667,6.0,6.3,0.62,5.762857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38.1383333,-118.3913333,6.0,5.52,0.33,5.294857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-11.139,117.314,33.0,5.6,1.0,5.265714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
51.337,176.777,22.6,5.6,1.0,5.295428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
36.443,1.655,10.0,5.7,1.1,5.3914285714285715,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
53.03,162.406,33.0,5.9,0.9,5.445714285714286,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
50.167,-176.273,33.0,5.7,1.0,5.325714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-10.681,107.965,33.0,5.7,1.1,5.325714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-21.094,-178.934,618.2,5.6,1.1,3.5937142857142854,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
54.974,165.993,33.0,5.5,1.0,5.2057142857142855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9.563,126.588,45.0,5.6,1.0,5.231428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-15.594,-74.529,65.0,5.6,0.9,5.174285714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3.333,128.128,154.9,5.6,1.0,4.917428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-11.426,-12.98,10.0,5.6,0.9,5.331428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-21.743,169.377,29.9,6.7,1.0,5.934571428571428,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-23.09,39.479,33.0,5.7,1.0,5.325714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29.328,130.216,34.0,5.9,1.0,5.442857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-21.541,169.462,33.0,6.0,0.9,5.505714285714285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
44.639,149.342,33.0,5.9,1.0,5.445714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-33.275,-178.908,33.0,5.6,1.1,5.265714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22.918,121.448,26.0,5.7,1.1,5.345714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-22.198,174.827,33.0,6.2,1.2,5.6257142857142854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39.076,143.339,33.0,5.7,1.0,5.325714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-13.819,166.552,66.4,5.6,1.1,5.170285714285715,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-21.382,169.162,33.0,5.9,1.4,5.445714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
28.314,129.41,43.0,5.9,1.0,5.417142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-6.06,148.745,70.6,5.9,1.0,5.338285714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
38.484,142.895,33.0,5.7,1.0,5.325714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38.222,22.934,33.0,6.7,1.2,5.925714285714285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
38.125,23.141,33.0,6.4,1.2,5.7457142857142856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
49.806,156.248,33.0,5.6,0.9,5.265714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-13.925,166.461,82.1,5.7,1.1,5.185428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-6.41,-81.416,33.0,6.0,1.0,5.505714285714285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22.894,121.453,23.5,5.9,1.0,5.472857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-25.742,-176.678,40.8,5.5,1.0,5.183428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
38.209,23.288,28.5,6.4,1.1,5.758571428571429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-37.307,177.301,33.0,5.7,1.2,5.325714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-6.251,154.824,66.6,5.7,0.9,5.2297142857142855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3.893,-85.915,33.0,6.4,0.8,5.7457142857142856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
38.187,23.32,33.0,5.5,0.9,5.2057142857142855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-30.573,-178.208,33.0,5.7,0.9,5.325714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18.831,-103.907,55.6,5.7,1.1,5.261142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39.481,20.699,31.1,5.6,1.2,5.271142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-23.378,-175.291,33.0,5.5,1.1,5.2057142857142855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-7.183,146.124,174.5,5.5,1.0,4.801428571428572,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13.898,120.706,143.9,5.6,0.9,4.948857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
