iter	Passed	Remaining
0	12	2521
1	21	2176
2	42	2778
3	54	2673
4	63	2480
5	72	2347
6	87	2421
7	104	2496
8	121	2581
9	144	2743
10	158	2722
11	170	2666
12	182	2631
13	196	2609
14	209	2577
15	212	2438
16	224	2413
17	234	2369
18	244	2329
19	255	2296
20	265	2265
21	276	2235
22	286	2207
23	298	2185
24	309	2167
25	322	2159
26	335	2147
27	347	2136
28	359	2122
29	371	2102
30	382	2083
31	388	2038
32	400	2028
33	415	2027
34	428	2018
35	438	1999
36	448	1976
37	460	1961
38	472	1949
39	486	1946
40	503	1951
41	519	1953
42	536	1958
43	553	1963
44	567	1954
45	579	1940
46	595	1938
47	612	1938
48	627	1934
49	646	1939
50	662	1934
51	678	1931
52	691	1916
53	703	1901
54	721	1902
55	736	1894
56	747	1876
57	761	1865
58	772	1845
59	782	1826
60	795	1811
61	805	1792
62	814	1771
63	824	1751
64	833	1731
65	847	1720
66	858	1703
67	867	1684
68	877	1666
69	888	1649
70	897	1630
71	907	1613
72	918	1597
73	928	1581
74	939	1565
75	948	1547
76	960	1534
77	971	1519
78	988	1513
79	1003	1504
80	1013	1489
81	1024	1473
82	1034	1458
83	1044	1442
84	1055	1427
85	1060	1405
86	1074	1395
87	1086	1382
88	1099	1370
89	1112	1359
90	1126	1349
91	1138	1336
92	1147	1320
93	1157	1304
94	1167	1290
95	1177	1275
96	1187	1260
97	1197	1245
98	1205	1229
99	1216	1216
100	1224	1200
101	1235	1187
102	1245	1173
103	1256	1160
104	1271	1150
105	1287	1141
106	1302	1131
107	1314	1120
108	1327	1108
109	1341	1097
110	1355	1087
111	1369	1076
112	1383	1065
113	1396	1053
114	1407	1040
115	1419	1028
116	1434	1017
117	1449	1007
118	1463	996
119	1482	988
120	1499	979
121	1515	968
122	1531	958
123	1547	948
124	1564	938
125	1608	944
126	1631	937
127	1644	925
128	1656	911
129	1671	900
130	1682	886
131	1693	872
132	1703	858
133	1714	844
134	1725	830
135	1739	818
136	1750	804
137	1760	790
138	1775	779
139	1796	769
140	1815	759
141	1827	746
142	1839	733
143	1850	719
144	1861	706
145	1882	696
146	1903	686
147	1921	674
148	1937	663
149	1951	650
150	1961	636
151	1971	622
152	1985	609
153	1996	596
154	2005	582
155	2016	568
156	2026	555
157	2037	541
158	2048	528
159	2058	514
160	2069	501
161	2080	487
162	2090	474
163	2100	461
164	2111	447
165	2120	434
166	2130	421
167	2141	407
168	2151	394
169	2161	381
170	2171	368
171	2180	355
172	2190	341
173	2200	328
174	2211	315
175	2222	303
176	2231	289
177	2241	277
178	2250	264
179	2260	251
180	2271	238
181	2281	225
182	2292	212
183	2303	200
184	2312	187
185	2324	174
186	2335	162
187	2345	149
188	2358	137
189	2368	124
190	2380	112
191	2391	99
192	2402	87
193	2412	74
194	2422	62
195	2431	49
196	2440	37
197	2451	24
198	2460	12
199	2470	0
